Timestamp, X, Y, Theta
0.006474, 0.0, 0.0, 0.0
0.008004, 0.0, 0.0, 0.0
0.008819, 0.0, 0.0, 0.0
0.009565, 0.0, 0.0, 0.0
0.010241, 0.0, 0.0, 0.0
0.010912, 0.0, 0.0, 0.0
0.011586, 0.0, 0.0, 0.0
0.012281, 0.0, 0.0, 0.0
0.012962, 0.0, 0.0, 0.0
0.01364, 0.0, 0.0, 0.0
0.01479, 0.0, 0.0, 0.0
0.015948, 0.0, 0.0, 0.0
0.017145, 0.0, 0.0, 0.0
0.018388, 0.0, 0.0, 0.0
0.01963, 0.0, 0.0, 0.0
0.020768, 0.0, 0.0, 0.0
0.021983, 0.0, 0.0, 0.0
0.023257, 0.0, 0.0, 0.0
0.024509, 0.0, 0.0, 0.0
0.025684, 0.0, 0.0, 0.0
0.026855, 0.0, 0.0, 0.0
0.028065, 0.0, 0.0, 0.0
0.029229, 0.0, 0.0, 0.0
0.03039, 0.0, 0.0, 0.0
0.031613, 0.0, 0.0, 0.0
0.032791, 0.0, 0.0, 0.0
0.034034, 0.0, 0.0, 0.0
0.035277, 0.0, 0.0, 0.0
0.036424, 0.0, 0.0, 0.0
0.03757, 0.0, 0.0, 0.0
0.038745, 0.46600291028248597, 0.0, 0.0
0.040017, 12.32342543592322, -0.7803741289669948, -0.13143671828480374
0.040786, 27.372872866692493, -3.942647017748774, -0.28278809085518386
0.041506, 41.77348930888793, -9.337837828033674, -0.434139463425564
0.04225, 55.19602565080388, -16.842593383317123, -0.5854908359959441
0.04295, 66.79981457900446, -25.833022454305908, -0.7328592777092089
0.043675, 77.41929411721323, -36.955634203898605, -0.884210650279589
0.044381, 86.78361553616017, -49.15380300734053, -0.9479375439934332
0.04509, 95.59413547292542, -61.47243233075328, -0.9519204748505485
0.045776, 104.40465540969066, -73.79106165416603, -0.9479375439934332
0.046467, 113.21517534645591, -86.10969097757878, -0.9519204748505485
0.047173, 121.75460236208993, -98.04928555257882, -0.9479375439934332
0.047924, 130.5651222988552, -110.36791487599157, -0.9519204748505485
0.048662, 139.21592388171203, -122.51427867192615, -0.9519204748505485
0.04936, 148.02644381847728, -134.8329079953389, -0.9479375439934332
0.050081, 156.72555478365402, -146.94471999456883, -0.9479375439934332
0.050804, 165.58506895574672, -159.22816000941285, -0.9439546131363179
0.051542, 174.44458312783942, -171.51160002425686, -0.9479375439934332
0.052237, 183.5261959857359, -184.2092640960823, -0.9519204748505484
0.052979, 192.33671592250116, -196.52789341949506, -0.9479375439934331
0.053707, 201.0358268876779, -208.639705418725, -0.9479375439934331
0.054425, 210.00678507051643, -221.13001154293087, -0.9479375439934331
0.055129, 218.65758665337327, -233.27637533886545, -0.9559034057076636
0.055853, 227.41897258721406, -245.62999855159455, -0.9519204748505483
0.05655, 235.9107774153982, -257.60351028085506, -0.9559034057076636
0.057286, 244.67216334923899, -269.95713349358414, -0.9519204748505483
0.057991, 253.37127431441573, -282.06894549281407, -0.9439546131363178
0.058682, 262.2307884865084, -294.3523855076581, -0.9479375439934331
0.059393, 271.0903026586011, -306.6358255225021, -0.9439546131363178
0.060073, 280.2224172667582, -319.29721753780285, -0.947937543993433
0.060768, 289.0819314388509, -331.58065755264687, -0.9439546131363177
0.061575, 297.9414456109436, -343.8640975674909, -0.947937543993433
0.062337, 306.5283593469719, -355.7695855818782, -0.9439546131363177
0.063093, 315.660473955129, -368.4309775971789, -0.9479375439934329
0.063777, 324.3595849203058, -380.54278959640885, -0.9479375439934329
0.064501, 332.6595614694163, -392.65006516339446, -0.9917497834217007
0.065218, 340.3672967901731, -405.41569627643804, -1.0634425388497755
0.06602, 347.4306106628625, -419.3374764110872, -1.1391182251349654
0.067202, 353.3034706301257, -433.549983353901, -1.2187768422772707
0.068028, 357.9838845374569, -447.95371952268175, -1.2944525285624606
0.068863, 361.5872120429901, -462.90369840836854, -1.374111145704766
0.069719, 363.9894775692893, -478.0930024785281, -1.4537697628470712
0.070559, 365.187545168139, -493.1906355377983, -1.529445449132261
0.071373, 365.26962836948627, -508.1025027527786, -1.601138204560336
0.072175, 364.2833434414617, -522.9819437211047, -1.6728309599884108
0.073035, 362.1718622503205, -537.9791280282751, -1.7485066462736008
0.073795, 358.9325849219206, -552.7737544971487, -1.8241823325587907
0.074597, 354.4878261900907, -567.4955056705123, -1.903840949701096
0.075411, 348.9986678193791, -581.6108530040011, -1.979516635986286
0.076161, 342.403695684703, -595.2446431045795, -2.0631581839857063
0.077048, 334.744736026278, -608.3104085591712, -2.138833870270896
0.077883, 326.11987930816423, -620.7597353102766, -2.214509556556086
0.078653, 316.57849487422214, -632.5213624531302, -2.290185242841276
0.079526, 306.35685140710433, -643.3790107399498, -2.361877998269351
0.080347, 295.15119204990515, -653.5675871043982, -2.4455195462687715
0.081181, 283.00475369179145, -662.9989111369588, -2.5172123016968464
0.082078, 270.39102048468806, -671.3814897702791, -2.5928879879820363
0.082905, 256.9614371569787, -678.8736276119585, -2.672546605124342
0.08366, 242.97825762101755, -685.2733563452477, -2.7522052222666473
0.084396, 228.7594334647987, -690.4886156464052, -2.8278809085518373
0.085092, 214.41932101558658, -694.5790552845248, -2.899573663979912
0.085781, 199.82304206740372, -697.6317855962266, -2.971266419407987
0.086461, 184.8106754014478, -699.6324697418822, -3.046942105693177
0.08714, 169.6900160291318, -700.4924407356806, -3.122617791978367
0.087832, 154.54761576880435, -700.206776037446, 3.0848918289160294
0.088562, 139.4759647203295, -698.7170698124509, 3.001250280916609
0.089248, 124.34679480938563, -695.9613384031145, 2.9215916637743033
